인도어(로마자),한글
Somanahalli,소마나할리
Someshvara,소메슈와르
Somnath,솜나트
Sonia,소니아
Sood,수드
Soren,소렌
Soumya,소미야
Spivak,스피박
Subhas,수바쉬
Subrahmanyam,수브라마니얌
Subramanian,서브라마니안
Sudesh,수데쉬
Sudhakar,수다카르
Sudhakarrao,수다르카르라오
Sukaphaa,수카파
Sukhbir,수크빌
Sukhdev,수크데브
Sule,수레
Sulochana,술로차나
Sultan,술탄
Sunaina,수네나
Sundar,순다르
Sundarayya,순다라이야
Sunil,수닐
Supriya,수프리야
Surajpal,수라즈팔
Suravaram,수르바람
Surdas,수르다스
Surinder,수린다르
Surjeet,수르지트
Surjit,수르지트
Suryakant,수르야칸트
Susenghphaa,수셍그파
Sushil,수실
Sushma,수슈마
Sushmita,수슈미타
Susmita,수스미타
Sutanphaa,수탄파
Suvra,수브라
Suzanna,수잔나
Swami,스와미
Swaminathan,스와미나탄
Swara,스와라
Swaraj,스와라즈
Swaran,스와란
Swarup,스와루프
Syed,사이드
T.,T.
Tagore,타고르
Talpade,탈파드
Tamang,타망
Tannishtha,타니슈타
Taraka,타라크
Tariq,타리크
Tata,타타
Tejashwi,테즈슈위
tendulkar,텐둘카르
Thackeray,타케레이
Thakur,타쿠르
Thawar Chand,타바르짠드/타와르짠드
Thayamma,타얌마
Thenphunga,텐푼가
Thomas,토마스
Tirath,티라트
Tomo,토모
Tridib,트리딥
Tripathi,트리파티
Trivendra,트리벤드라
Uday,우데이
Uddhav,우다브
Ul,울
Uma,우마샹카르
Upadhyaya,우파댜야
Upendra,우펜드라
Upinder,우핀더
Usha,우샤
Uttar,웃따르
V.,V.
Vajpayee,바즈파이
Vakil,바킬
Vallabhacharya,발라바차르야
Varahagiri,바라하기리
Vasuki,바수키
Venkata,벤카타
Venkataraman,벤카타라만
Venugopal,베누고팔
Verma,베르마
Viduthalai,비두탈라이
Vigraharaja,비그라흐라즈
Vijai,비자이
Vijay,비제이
Vijaya,비자야
Vijayakanth,비자야칸트
Vijayan,비자얀
Vijayaraj,비자야라즈
Vikas,비카스
Vikram,비크람
Vilas,파스완
Vinod,비노드
Virakta,비락트
Virbhadra,비르바드라
Vishnu,비슈누
Vishwanath,비슈와나트
Vivekanandan,비베카난단
Wadiyar,와디야르
Womesh,우메시
Y.,Y.
Yadav,야다브
Yajee,야지
Yar,야르
Yashwant,야쉬완뜨
Yashwantrao,야슈완트라오
Yechury,예추리
Yediyurappa,예디유랍파
Yunus,유누스
Zakir,자키르
Zapu,자푸
Zeliang,젤리양
Zia,지아
Zoramthanga,조라마탕가
Zubin,주빈
Ⅰ,1세
Ⅱ,2세
Ⅲ,3세
Haradanahalli,하라다나할리
Doddegowda,도데고다
Deve,데베
Gowda,고다
Mysore,마이소르
Bhubaneswar,부바네스와르
Guwahati,구와하띠
Lucknow,럭나우
Mysore,마이소르
Patiala,빠띠알라
Pune,뿌네
Solan,솔란
